-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 4:45:44 PM     9/16/2020 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 558
  Max.    Elevation: 1344
  Mean.   Elevation: 778.58796608352
  Std.    Deviation: 89.3835230543493

                    Elevation          % Area Below Elevation         % Area Watershed

                    999                     100                       .01
-----------------------------------------------------------------------------------------------------------------------------

Subbasin # 5

Statistics: All elevations reported in meters
-----------

  Min.    Elevation: 707
  Max.    Elevation: 906
  Mean.   Elevation: 802.846801543679
  Std.    Deviation: 41.3275820984954

                    Elevation          % Area Below Elevation         % Area Subbasin

                    707                     .01                      .01
                    709                     .05                      .04
                    710                     .06                      .01
                    711                     .11                      .05
                    712                     .22                      .12
                    713                     .3                       .08
                    714                     .36                      .06
                    715                     .43                      .07
                    716                     .58                      .15
                    717                     .8                       .21
                    718                     .96                      .16
                    719                     1.31                      .35
                    720                     1.57                      .26
                    721                     2                         .43
                    722                     2.28                      .28
                    723                     2.58                      .3
                    724                     3.02                      .43
                    725                     3.44                      .42
                    726                     3.8                       .36
                    727                     4.17                      .37
                    728                     4.62                      .44
                    729                     4.98                      .36
                    730                     5.51                      .53
                    731                     5.87                      .36
                    732                     6.23                      .36
                    733                     6.69                      .46
                    734                     7.1                       .41
                    735                     7.46                      .36
                    736                     7.89                      .43
                    737                     8.22                      .33
                    738                     8.6                       .37
                    739                     9.02                      .42
                    740                     9.44                      .42
                    741                     9.87                      .43
                    742                     10.24                     .37
                    743                     10.72                     .48
                    744                     11.05                     .33
                    745                     11.32                     .27
                    746                     11.78                     .46
                    747                     12.14                     .36
                    748                     12.5                      .36
                    749                     12.96                     .46
                    750                     13.38                     .42
                    751                     13.8                      .42
                    752                     14.06                     .26
                    753                     14.54                     .48
                    754                     15.04                     .5
                    755                     15.51                     .47
                    756                     16.06                     .55
                    757                     16.62                     .56
                    758                     17.11                     .49
                    759                     17.51                     .4
                    760                     18.04                     .54
                    761                     18.57                     .53
                    762                     19.06                     .49
                    763                     19.64                     .57
                    764                     20.37                     .74
                    765                     20.96                     .58
                    766                     21.66                     .7
                    767                     22.22                     .56
                    768                     22.8                      .58
                    769                     23.39                     .58
                    770                     23.9                      .51
                    771                     24.63                     .73
                    772                     25.27                     .64
                    773                     26                        .73
                    774                     26.83                     .83
                    775                     27.46                     .63
                    776                     28.06                     .6
                    777                     28.57                     .51
                    778                     29.21                     .64
                    779                     29.9                      .69
                    780                     30.48                     .57
                    781                     31.18                     .7
                    782                     31.84                     .67
                    783                     32.52                     .68
                    784                     33.33                     .81
                    785                     34.07                     .74
                    786                     34.87                     .81
                    787                     35.6                      .73
                    788                     36.23                     .63
                    789                     36.84                     .61
                    790                     37.7                      .87
                    791                     38.37                     .67
                    792                     38.94                     .57
                    793                     39.63                     .69
                    794                     40.46                     .83
                    795                     41.15                     .69
                    796                     41.76                     .61
                    797                     42.5                      .74
                    798                     43.18                     .68
                    799                     43.69                     .51
                    800                     44.52                     .83
                    801                     45.4                      .88
                    802                     46.15                     .75
                    803                     46.86                     .71
                    804                     47.83                     .97
                    805                     48.64                     .81
                    806                     49.26                     .62
                    807                     50.08                     .82
                    808                     51.02                     .95
                    809                     51.83                     .81
                    810                     52.59                     .76
                    811                     53.7                      1.11
                    812                     54.53                     .83
                    813                     55.5                      .97
                    814                     56.47                     .97
                    815                     57.22                     .75
                    816                     58.22                     .99
                    817                     58.98                     .76
                    818                     59.88                     .9
                    819                     60.83                     .96
                    820                     61.72                     .89
                    821                     62.73                     1.01
                    822                     63.75                     1.02
                    823                     64.62                     .88
                    824                     65.71                     1.09
                    825                     66.67                     .96
                    826                     67.58                     .91
                    827                     68.62                     1.04
                    828                     69.59                     .97
                    829                     70.73                     1.13
                    830                     71.72                     .99
                    831                     72.81                     1.09
                    832                     73.75                     .94
                    833                     74.82                     1.08
                    834                     75.63                     .81
                    835                     76.55                     .92
                    836                     77.29                     .74
                    837                     78.06                     .77
                    838                     78.87                     .81
                    839                     79.73                     .87
                    840                     80.38                     .64
                    841                     80.88                     .5
                    842                     81.69                     .81
                    843                     82.35                     .67
                    844                     83.02                     .67
                    845                     83.78                     .76
                    846                     84.43                     .65
                    847                     85.15                     .71
                    848                     85.76                     .61
                    849                     86.53                     .77
                    850                     87.23                     .7
                    851                     87.9                      .67
                    852                     88.45                     .55
                    853                     89.08                     .63
                    854                     89.43                     .35
                    855                     89.95                     .53
                    856                     90.43                     .48
                    857                     91.02                     .58
                    858                     91.56                     .54
                    859                     92                        .44
                    860                     92.54                     .54
                    861                     92.95                     .41
                    862                     93.54                     .6
                    863                     94.02                     .48
                    864                     94.46                     .43
                    865                     94.92                     .47
                    866                     95.32                     .4
                    867                     95.73                     .41
                    868                     96.18                     .44
                    869                     96.54                     .36
                    870                     96.88                     .34
                    871                     97.16                     .28
                    872                     97.37                     .21
                    873                     97.7                      .33
                    874                     97.95                     .26
                    875                     98.12                     .16
                    876                     98.32                     .2
                    877                     98.49                     .18
                    878                     98.67                     .18
                    879                     98.74                     .07
                    880                     98.85                     .12
                    881                     99.03                     .18
                    882                     99.18                     .15
                    883                     99.29                     .11
                    884                     99.33                     .05
                    885                     99.39                     .06
                    886                     99.45                     .06
                    887                     99.49                     .04
                    888                     99.58                     .09
                    889                     99.61                     .04
                    890                     99.66                     .05
                    891                     99.72                     .06
                    892                     99.74                     .02
                    893                     99.78                     .04
                    894                     99.84                     .06
                    895                     99.88                     .05
                    896                     99.91                     .02
                    897                     99.94                     .04
                    899                     99.96                     .02
                    901                     99.99                     .02
                    906                     100                       .01
-----------------------------------------------------------------------------------------------------------------------------

Subbasin # 6

Statistics: All elevations reported in meters
-----------

  Min.    Elevation: 684
  Max.    Elevation: 881
  Mean.   Elevation: 773.892201112627
  Std.    Deviation: 32.2999573442559

                    Elevation          % Area Below Elevation         % Area Subbasin

                    684                     .01                      .01
                    685                     .02                      .01
                    688                     .03                      .01
                    690                     .04                      .01
                    691                     .05                      .01
                    692                     .08                      .03
                    693                     .09                      .01
                    694                     .12                      .02
                    695                     .13                      .01
                    696                     .14                      .01
                    697                     .15                      .01
                    698                     .18                      .03
                    699                     .22                      .04
                    700                     .24                      .02
                    701                     .3                       .06
                    702                     .31                      .01
                    703                     .34                      .02
                    705                     .37                      .03
                    706                     .45                      .08
                    707                     .51                      .06
                    709                     .58                      .06
                    710                     .64                      .06
                    711                     .75                      .1
                    712                     .93                      .19
                    713                     1.02                      .08
                    714                     1.24                      .22
                    715                     1.45                      .21
                    716                     1.69                      .24
                    717                     2.03                      .34
                    718                     2.31                      .28
                    719                     2.65                      .34
                    720                     3.05                      .41
                    721                     3.41                      .36
                    722                     3.81                      .4
                    723                     4.17                      .36
                    724                     4.73                      .57
                    725                     5.33                      .6
                    726                     6.04                      .7
                    727                     6.67                      .63
                    728                     7.5                       .84
                    729                     8.28                      .78
                    730                     9.27                      .99
                    731                     10.2                      .93
                    732                     11.06                     .86
                    733                     11.97                     .9
                    734                     12.99                     1.03
                    735                     13.84                     .85
                    736                     14.8                      .96
                    737                     15.67                     .87
                    738                     16.72                     1.05
                    739                     17.54                     .82
                    740                     18.46                     .92
                    741                     19.38                     .91
                    742                     20.06                     .68
                    743                     20.95                     .89
                    744                     21.74                     .79
                    745                     22.61                     .87
                    746                     23.65                     1.04
                    747                     24.67                     1.02
                    748                     25.27                     .6
                    749                     26.26                     1
                    750                     27.22                     .96
                    751                     27.98                     .77
                    752                     28.74                     .76
                    753                     29.69                     .96
                    754                     30.58                     .88
                    755                     31.58                     1.01
                    756                     32.59                     1.01
                    757                     33.48                     .89
                    758                     34.3                      .82
                    759                     35.08                     .78
                    760                     35.91                     .83
                    761                     36.72                     .81
                    762                     37.6                      .88
                    763                     38.69                     1.09
                    764                     39.6                      .91
                    765                     40.55                     .94
                    766                     41.63                     1.08
                    767                     42.44                     .81
                    768                     43.39                     .96
                    769                     44.57                     1.18
                    770                     45.76                     1.2
                    771                     46.96                     1.2
                    772                     48.19                     1.23
                    773                     49.41                     1.22
                    774                     50.66                     1.25
                    775                     51.7                      1.04
                    776                     52.97                     1.27
                    777                     54.1                      1.13
                    778                     55.42                     1.32
                    779                     56.51                     1.09
                    780                     57.69                     1.18
                    781                     58.65                     .97
                    782                     59.61                     .96
                    783                     60.74                     1.13
                    784                     61.81                     1.07
                    785                     62.93                     1.11
                    786                     63.88                     .96
                    787                     64.96                     1.08
                    788                     66.01                     1.05
                    789                     67.29                     1.28
                    790                     68.3                      1.01
                    791                     69.43                     1.13
                    792                     70.55                     1.11
                    793                     71.91                     1.36
                    794                     73                        1.09
                    795                     73.94                     .93
                    796                     75.08                     1.14
                    797                     75.95                     .87
                    798                     76.95                     1
                    799                     77.93                     .98
                    800                     78.85                     .92
                    801                     79.62                     .77
                    802                     80.7                      1.08
                    803                     81.66                     .97
                    804                     82.55                     .89
                    805                     83.23                     .67
                    806                     83.89                     .66
                    807                     84.61                     .72
                    808                     85.33                     .71
                    809                     85.95                     .62
                    810                     86.67                     .72
                    811                     87.32                     .65
                    812                     87.96                     .64
                    813                     88.75                     .79
                    814                     89.48                     .73
                    815                     89.99                     .5
                    816                     90.46                     .47
                    817                     91.02                     .56
                    818                     91.38                     .37
                    819                     91.95                     .57
                    820                     92.36                     .41
                    821                     92.69                     .34
                    822                     93.08                     .39
                    823                     93.37                     .28
                    824                     93.72                     .36
                    825                     94.04                     .31
                    826                     94.42                     .38
                    827                     94.69                     .27
                    828                     94.97                     .28
                    829                     95.28                     .3
                    830                     95.62                     .35
                    831                     95.87                     .25
                    832                     96.15                     .27
                    833                     96.38                     .23
                    834                     96.54                     .16
                    835                     96.79                     .25
                    836                     96.95                     .16
                    837                     97.19                     .24
                    838                     97.42                     .23
                    839                     97.6                      .18
                    840                     97.75                     .16
                    841                     97.85                     .09
                    842                     98.06                     .21
                    843                     98.24                     .18
                    844                     98.4                      .17
                    845                     98.52                     .12
                    846                     98.67                     .15
                    847                     98.71                     .04
                    848                     98.8                      .09
                    849                     98.92                     .12
                    850                     99                        .08
                    851                     99.09                     .08
                    852                     99.18                     .09
                    853                     99.28                     .09
                    854                     99.32                     .04
                    855                     99.38                     .06
                    856                     99.41                     .03
                    857                     99.48                     .06
                    858                     99.52                     .04
                    859                     99.54                     .02
                    860                     99.57                     .03
                    861                     99.61                     .04
                    862                     99.64                     .03
                    863                     99.67                     .03
                    864                     99.74                     .06
                    865                     99.76                     .02
                    866                     99.78                     .02
                    867                     99.79                     .01
                    868                     99.83                     .04
                    869                     99.85                     .02
                    870                     99.87                     .02
                    871                     99.9                      .02
                    872                     99.92                     .02
                    874                     99.93                     .01
                    875                     99.94                     .01
                    879                     99.97                     .03
                    880                     99.98                     .01
                    881                     100                       .02
-----------------------------------------------------------------------------------------------------------------------------

Subbasin # 7

Statistics: All elevations reported in meters
-----------

  Min.    Elevation: 697
  Max.    Elevation: 916
  Mean.   Elevation: 810.347557156279
  Std.    Deviation: 41.7495583217323

                    Elevation          % Area Below Elevation         % Area Subbasin

                    697                     .02                      .02
                    700                     .02                      .01
                    701                     .03                      .01
                    703                     .05                      .02
                    705                     .06                      .01
                    706                     .09                      .02
                    707                     .09                      .01
                    708                     .11                      .02
                    709                     .13                      .02
                    710                     .19                      .05
                    711                     .27                      .09
                    712                     .38                      .11
                    713                     .45                      .06
                    714                     .52                      .08
                    715                     .7                       .17
                    716                     .85                      .16
                    717                     .96                      .1
                    718                     1.12                      .16
                    719                     1.27                      .15
                    720                     1.4                       .13
                    721                     1.53                      .13
                    722                     1.7                       .16
                    723                     1.86                      .16
                    724                     2                         .15
                    725                     2.2                       .2
                    726                     2.33                      .13
                    727                     2.48                      .15
                    728                     2.65                      .16
                    729                     2.91                      .27
                    730                     3.26                      .34
                    731                     3.52                      .27
                    732                     3.74                      .22
                    733                     4.02                      .27
                    734                     4.26                      .24
                    735                     4.57                      .31
                    736                     4.89                      .31
                    737                     5.23                      .34
                    738                     5.5                       .27
                    739                     5.79                      .29
                    740                     6.1                       .31
                    741                     6.3                       .2
                    742                     6.64                      .34
                    743                     6.84                      .2
                    744                     7.16                      .31
                    745                     7.39                      .23
                    746                     7.76                      .37
                    747                     7.99                      .23
                    748                     8.28                      .29
                    749                     8.53                      .26
                    750                     8.82                      .29
                    751                     9.18                      .35
                    752                     9.53                      .35
                    753                     9.84                      .31
                    754                     10.25                     .41
                    755                     10.66                     .41
                    756                     11.06                     .4
                    757                     11.44                     .38
                    758                     11.83                     .39
                    759                     12.29                     .46
                    760                     12.62                     .33
                    761                     13.04                     .41
                    762                     13.38                     .34
                    763                     13.83                     .45
                    764                     14.2                      .38
                    765                     14.64                     .44
                    766                     15.11                     .47
                    767                     15.64                     .52
                    768                     16.14                     .51
                    769                     16.81                     .67
                    770                     17.27                     .46
                    771                     17.8                      .53
                    772                     18.42                     .62
                    773                     19.22                     .8
                    774                     19.98                     .76
                    775                     20.74                     .76
                    776                     21.41                     .67
                    777                     22.16                     .75
                    778                     22.75                     .59
                    779                     23.5                      .76
                    780                     24.15                     .64
                    781                     24.94                     .79
                    782                     25.68                     .74
                    783                     26.49                     .81
                    784                     27.11                     .63
                    785                     27.89                     .78
                    786                     28.79                     .9
                    787                     29.56                     .78
                    788                     30.35                     .78
                    789                     31.08                     .73
                    790                     31.94                     .87
                    791                     32.77                     .83
                    792                     33.58                     .81
                    793                     34.36                     .78
                    794                     35.24                     .88
                    795                     36.13                     .89
                    796                     37.1                      .96
                    797                     38.07                     .97
                    798                     38.95                     .88
                    799                     39.96                     1.01
                    800                     40.96                     .99
                    801                     41.72                     .77
                    802                     42.61                     .88
                    803                     43.52                     .92
                    804                     44.39                     .87
                    805                     45.3                      .91
                    806                     46.27                     .96
                    807                     47.02                     .75
                    808                     47.75                     .74
                    809                     48.58                     .83
                    810                     49.51                     .92
                    811                     50.39                     .88
                    812                     51.15                     .76
                    813                     52.02                     .87
                    814                     52.9                      .88
                    815                     53.77                     .86
                    816                     54.48                     .71
                    817                     55.25                     .77
                    818                     56.07                     .82
                    819                     56.86                     .79
                    820                     57.87                     1.01
                    821                     58.76                     .89
                    822                     59.58                     .81
                    823                     60.68                     1.1
                    824                     61.46                     .78
                    825                     62.39                     .93
                    826                     63.26                     .87
                    827                     64.2                      .93
                    828                     65.1                      .9
                    829                     66.07                     .98
                    830                     67.01                     .94
                    831                     68.09                     1.08
                    832                     69.1                      1
                    833                     69.97                     .87
                    834                     70.73                     .77
                    835                     71.66                     .93
                    836                     72.54                     .88
                    837                     73.42                     .88
                    838                     74.16                     .74
                    839                     74.98                     .81
                    840                     75.81                     .84
                    841                     76.61                     .79
                    842                     77.39                     .78
                    843                     78.1                      .71
                    844                     78.7                      .6
                    845                     79.42                     .73
                    846                     80                        .57
                    847                     80.71                     .71
                    848                     81.28                     .57
                    849                     81.89                     .61
                    850                     82.43                     .54
                    851                     83.12                     .69
                    852                     83.6                      .49
                    853                     84.25                     .64
                    854                     84.79                     .55
                    855                     85.22                     .42
                    856                     85.76                     .54
                    857                     86.31                     .55
                    858                     86.79                     .49
                    859                     87.18                     .38
                    860                     87.64                     .46
                    861                     88.08                     .45
                    862                     88.62                     .53
                    863                     88.98                     .36
                    864                     89.38                     .4
                    865                     89.9                      .52
                    866                     90.4                      .5
                    867                     90.81                     .41
                    868                     91.3                      .49
                    869                     91.65                     .34
                    870                     92.08                     .44
                    871                     92.5                      .41
                    872                     92.88                     .38
                    873                     93.32                     .44
                    874                     93.64                     .32
                    875                     94.03                     .38
                    876                     94.36                     .34
                    877                     94.63                     .27
                    878                     94.9                      .27
                    879                     95.24                     .34
                    880                     95.49                     .25
                    881                     95.8                      .31
                    882                     96.08                     .28
                    883                     96.33                     .25
                    884                     96.55                     .22
                    885                     96.77                     .23
                    886                     96.99                     .21
                    887                     97.18                     .2
                    888                     97.45                     .27
                    889                     97.64                     .19
                    890                     97.8                      .16
                    891                     98                        .2
                    892                     98.14                     .13
                    893                     98.29                     .16
                    894                     98.47                     .18
                    895                     98.6                      .13
                    896                     98.73                     .13
                    897                     98.86                     .13
                    898                     98.97                     .12
                    899                     99.07                     .09
                    900                     99.22                     .15
                    901                     99.33                     .12
                    902                     99.4                      .06
                    903                     99.45                     .05
                    904                     99.52                     .07
                    905                     99.56                     .04
                    906                     99.62                     .06
                    907                     99.66                     .03
                    908                     99.73                     .08
                    909                     99.77                     .03
