-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 4:45:44 PM     9/16/2020 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 558
  Max.    Elevation: 1344
  Mean.   Elevation: 778.58796608352
  Std.    Deviation: 89.3835230543493

                    Elevation          % Area Below Elevation         % Area Watershed

                    795                     59.87                     .45
                    796                     60.3                      .44
                    797                     60.73                     .43
                    798                     61.14                     .41
                    799                     61.57                     .42
                    800                     61.99                     .43
                    801                     62.42                     .42
                    802                     62.82                     .41
                    803                     63.22                     .4
                    804                     63.62                     .4
                    805                     64.01                     .39
                    806                     64.4                      .39
                    807                     64.8                      .4
                    808                     65.19                     .39
                    809                     65.58                     .39
                    810                     65.98                     .4
                    811                     66.39                     .41
                    812                     66.78                     .38
                    813                     67.16                     .39
                    814                     67.55                     .39
                    815                     67.93                     .38
                    816                     68.33                     .4
                    817                     68.7                      .37
                    818                     69.09                     .39
                    819                     69.45                     .35
                    820                     69.82                     .38
                    821                     70.2                      .38
                    822                     70.58                     .39
                    823                     70.97                     .38
                    824                     71.35                     .38
                    825                     71.72                     .37
                    826                     72.09                     .37
                    827                     72.46                     .37
                    828                     72.82                     .36
                    829                     73.19                     .37
                    830                     73.56                     .37
                    831                     73.92                     .36
                    832                     74.28                     .36
                    833                     74.65                     .37
                    834                     74.99                     .34
                    835                     75.33                     .34
                    836                     75.67                     .34
                    837                     76.02                     .35
                    838                     76.36                     .34
                    839                     76.7                      .34
                    840                     77.02                     .33
                    841                     77.34                     .32
                    842                     77.66                     .33
                    843                     77.98                     .31
                    844                     78.28                     .3
                    845                     78.6                      .32
                    846                     78.89                     .29
                    847                     79.18                     .29
                    848                     79.47                     .29
                    849                     79.76                     .29
                    850                     80.05                     .29
                    851                     80.35                     .3
                    852                     80.63                     .28
                    853                     80.91                     .28
                    854                     81.18                     .27
                    855                     81.44                     .26
                    856                     81.72                     .28
                    857                     81.99                     .27
                    858                     82.27                     .28
                    859                     82.53                     .26
                    860                     82.8                      .27
                    861                     83.07                     .27
                    862                     83.35                     .28
                    863                     83.62                     .27
                    864                     83.86                     .24
                    865                     84.13                     .27
                    866                     84.38                     .25
                    867                     84.63                     .25
                    868                     84.87                     .24
                    869                     85.1                      .23
                    870                     85.33                     .23
                    871                     85.56                     .23
                    872                     85.78                     .21
                    873                     85.98                     .21
                    874                     86.19                     .21
                    875                     86.41                     .21
                    876                     86.62                     .21
                    877                     86.8                      .18
                    878                     86.98                     .18
                    879                     87.16                     .18
                    880                     87.34                     .18
                    881                     87.53                     .19
                    882                     87.71                     .18
                    883                     87.88                     .17
                    884                     88.05                     .17
                    885                     88.22                     .16
                    886                     88.38                     .17
                    887                     88.55                     .17
                    888                     88.71                     .16
                    889                     88.87                     .16
                    890                     89.03                     .17
                    891                     89.2                      .16
                    892                     89.37                     .17
                    893                     89.53                     .16
                    894                     89.68                     .16
                    895                     89.84                     .16
                    896                     89.99                     .15
                    897                     90.15                     .16
                    898                     90.31                     .16
                    899                     90.44                     .14
                    900                     90.59                     .15
                    901                     90.75                     .16
                    902                     90.9                      .15
                    903                     91.04                     .14
                    904                     91.19                     .14
                    905                     91.33                     .14
                    906                     91.47                     .14
                    907                     91.61                     .14
                    908                     91.74                     .13
                    909                     91.89                     .15
                    910                     92.04                     .15
                    911                     92.17                     .14
                    912                     92.32                     .14
                    913                     92.46                     .15
                    914                     92.6                      .13
                    915                     92.75                     .15
                    916                     92.9                      .15
                    917                     93.05                     .15
                    918                     93.19                     .14
                    919                     93.34                     .15
                    920                     93.47                     .13
                    921                     93.63                     .16
                    922                     93.79                     .16
                    923                     93.96                     .17
                    924                     94.11                     .15
                    925                     94.28                     .17
                    926                     94.43                     .15
                    927                     94.6                      .16
                    928                     94.76                     .16
                    929                     94.92                     .16
                    930                     95.07                     .14
                    931                     95.22                     .15
                    932                     95.36                     .15
